中国银行信用卡账单(2025年01月)
交易日,银行记账日,卡号后四位,交易描述,存入,支出,币种
2024-12-13,2024-12-14,4260,上海公共交通卡股份有限CHN,,50.00,CNY
2024-12-15,2024-12-16,2875,钱袋宝支付-大众点评App美团神会员CHN,,0.59,CNY
2024-12-20,2024-12-20,,存款利息,0.01,,CNY
2024-12-20,2024-12-20,2875,曾三,361.19,,CNY
2024-12-21,2024-12-22,2875,网银在线-京东商城业务CHN,,68.19,CNY
2024-12-24,2024-12-25,2875,网银在线-拓路者运*京东商城CHN,,468.32,CNY
2024-12-24,2024-12-25,2875,网银在线-拓路者运*京东商城CHN,,448.32,CNY
2024-12-24,2024-12-25,2875,网银在线CHN,70.48,,CNY
2024-12-24,2024-12-25,2875,网银在线CHN,397.84,,CNY
2024-12-24,2024-12-25,2875,网银在线CHN,70.48,,CNY
2024-12-28,2024-12-29,2875,网银在线-京东商城业务CHN,,131.77,CNY
2024-12-28,2024-12-29,2875,网银在线CHN,89.84,,CNY
2024-12-30,2024-12-31,2875,网银在线-京东商城业务CHN,,60.90,CNY
2024-12-22,2024-12-24,2875,MICROSOFT*XBOXJPN,,3.72,USD
